130487.90  89389.30
130987.85  89557.41
131487.81  89725.52
131987.77  89893.65
132487.72  90061.76
132987.67  90229.87
133487.62  90397.99
133987.58  90566.09
134487.53  90734.20
134987.48  90902.33
135487.44  91070.43
135987.39  91238.54
136487.34  91290.85
136987.30  91324.98
137487.25  91359.09
137987.20  91393.23
138487.16  91427.35
138987.11  91461.46
139487.06  91495.59
139987.02  91529.72
140486.97  91563.84
140986.92  91597.98
141486.88  91632.09
141986.83  91666.22
142486.78  91700.34
142986.75  91734.47
143486.70  91768.59
143986.66  91802.72
144486.61  91836.84
144986.56  91870.96
145486.52  91905.09
145986.47  91939.22
146486.42  91973.34
146986.38  92007.45
147486.33  92041.59
147986.28  92048.87
148486.23  91949.00
148986.19  91849.14
149486.14  91749.27
149986.09  91649.41
150486.05  91549.55
150986.00  91449.70
151485.95  91349.82
151985.91  91249.95
152485.86  91150.09
152985.81  91050.23
153485.77  90950.37
153985.72  90850.50
154485.67  90750.64
154985.62  90650.77
155485.58  90550.91
155985.53  90451.05
156485.48  90351.18
156985.44  90251.31
157485.41  90151.45
157985.36  90051.59
158485.31  89951.73
158985.27  89851.85
159485.22  89752.00
159985.17  89580.27
160485.12  89346.41
160985.08  89112.56
161485.03  88878.72
161984.98  88644.86
162484.94  88411.00
162984.89  88177.16
163484.84  87943.30
163984.80  87709.45
164484.75  87475.61
164984.70  87241.74
165484.66  87007.89
165984.61  86774.05
166484.56  86540.20
166984.52  86306.34
167484.47  86072.49
167984.42  85838.63
168484.38  85604.78
168984.33  85370.93
169484.28  85137.08
169984.23  84903.23
170484.19  84669.38
170984.14  84435.52
171484.09  84201.67
171984.05  83850.94
172484.00  83483.09
172983.97  83115.24
173483.92  82747.40
173983.88  82379.56
174483.83  82011.73
174983.78  81643.89
175483.73  81276.04
175983.69  80908.20
176483.64  80540.36
176983.59  80172.52
177483.55  79804.68
177983.50  79436.85
178483.45  79069.00
178983.41  78701.16
179483.36  78333.32
179983.31  77965.48
180483.27  77597.64
180983.22  77229.81
181483.17  76861.96
181983.12  76494.12
182483.08  76126.28
182983.03  75758.44
183482.98  75362.67
183982.94  74860.84
184482.89  74359.02
184982.84  73857.20
185482.80  73355.36
185982.75  72853.53
186482.70  72351.70
186982.66  71849.88
187482.62  71348.03
187982.58  70846.21
188482.53  70344.38
188982.48  69842.55
189482.44  69340.72
189982.39  68838.90
190482.34  68337.06
190982.30  67835.24
191482.25  67333.41
191982.20  66831.59
192482.16  66329.75
192982.11  65827.93
193482.06  65326.10
193982.02  64824.27
194481.97  64322.44
194981.92  63820.61
195481.88  63318.79
